Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
2/23/2001 0:00	 	99.78
2/24/2001 0:00	 	99.78
2/25/2001 0:00	 	99.78
2/26/2001 0:00	-872.5	87.33
2/27/2001 0:00	-872.5	87.33
2/28/2001 0:00	 	99.78
3/1/2001 0:00	 	99.78
3/2/2001 0:00	 	99.77
3/3/2001 0:00	 	99.77
3/4/2001 0:00	 	99.77
3/5/2001 0:00	 	99.77
3/6/2001 0:00	 	99.77
3/7/2001 0:00	 	99.77
3/8/2001 0:00	 	99.77
3/9/2001 0:00	 	99.77
3/10/2001 0:00	 	99.77
3/11/2001 0:00	 	99.76
3/12/2001 0:00	 	99.76
3/13/2001 0:00	 	99.76
3/14/2001 0:00	 	99.76
3/15/2001 0:00	 	99.75
3/16/2001 0:00	 	99.75
3/17/2001 0:00	 	99.75
3/18/2001 0:00	 	99.76
3/19/2001 0:00	 	99.76
3/20/2001 0:00	 	99.75
3/21/2001 0:00	 	99.75
3/22/2001 0:00	 	99.75
3/23/2001 0:00	 	99.75
3/24/2001 0:00	 	99.75
3/25/2001 0:00	 	99.74
3/26/2001 0:00	 	99.74
3/27/2001 0:00	 	99.74
3/28/2001 0:00	 	99.74
3/29/2001 0:00	 	99.74
3/30/2001 0:00	 	99.74
3/31/2001 0:00	 	99.74
4/1/2001 0:00	 	99.73
4/2/2001 0:00	 	99.73
4/3/2001 0:00	 	99.73
4/4/2001 0:00	 	99.73
4/5/2001 0:00	 	99.73
4/6/2001 0:00	 	99.73
4/7/2001 0:00	 	99.73
4/8/2001 0:00	 	99.72
4/9/2001 0:00	 	99.72
4/10/2001 0:00	 	99.72
4/11/2001 0:00	 	99.72
4/12/2001 0:00	 	99.71
4/13/2001 0:00	 	99.71
4/14/2001 0:00	 	99.71
4/15/2001 0:00	 	99.7
4/16/2001 0:00	 	99.7
4/17/2001 0:00	 	99.7
4/18/2001 0:00	 	99.7
4/19/2001 0:00	 	99.69
4/20/2001 0:00	 	99.69
4/21/2001 0:00	 	99.69
4/22/2001 0:00	 	99.69
4/23/2001 0:00	-903.9	91.49
4/24/2001 0:00	264	2.17
4/25/2001 0:00	300	2.36
4/26/2001 0:00	302	2.36
4/27/2001 0:00	301	2.36
4/28/2001 0:00	302	2.36
4/29/2001 0:00	302	2.37
4/30/2001 0:00	325	2.47
5/1/2001 0:00	373	2.69
5/2/2001 0:00	374	2.7
5/3/2001 0:00	375	2.71
5/4/2001 0:00	376	2.71
5/5/2001 0:00	376	2.71
5/6/2001 0:00	378	2.72
5/7/2001 0:00	376	2.71
5/8/2001 0:00	372	2.69
5/9/2001 0:00	372	2.69
5/10/2001 0:00	374	2.7
5/11/2001 0:00	381	2.73
5/12/2001 0:00	398	2.81
5/13/2001 0:00	397	2.81
5/14/2001 0:00	398	2.81
5/15/2001 0:00	400	2.82
5/16/2001 0:00	401	2.82
5/17/2001 0:00	432	2.96
5/18/2001 0:00	456	3.06
5/19/2001 0:00	387	2.75
5/20/2001 0:00	339	2.43
5/21/2001 0:00	0.051	0.01
